,unix,dai_mcap
0,1574294400,12494872.076604953
1,1574380800,14391748.486608919
2,1574467200,14697564.657745376
3,1574553600,13934943.346314434
4,1574640000,16428649.463907203
5,1574726400,15787652.136815354
6,1574812800,15754951.873730391
7,1574899200,17766421.873473242
8,1574985600,19067967.22768785
9,1575072000,19116829.497572385
10,1575158400,21270234.563937634
11,1575244800,38514746.91648468
12,1575331200,44117485.146808125
13,1575417600,44886458.61735102
14,1575504000,44188406.22736558
15,1575590400,45391888.53901079
16,1575676800,43444916.85219919
17,1575763200,44686580.56870687
18,1575849600,43778795.94907159
19,1575936000,43609646.342096776
20,1576022400,45574452.93901587
21,1576108800,46033530.19020713
22,1576195200,46718171.34740256
23,1576281600,46326305.22269202
24,1576368000,46347768.93292016
25,1576454400,49236345.7379027
26,1576540800,48052481.54799645
27,1576627200,47881989.88029857
28,1576713600,49258774.42647197
29,1576800000,43779851.32934509
30,1576886400,42462708.54012666
31,1576972800,43319642.212579764
32,1577059200,43197962.1501458
33,1577145600,42876969.875245765
34,1577232000,42013812.036031455
35,1577318400,41216496.643668175
36,1577404800,41140003.28390296
37,1577491200,41312458.13496491
38,1577577600,42217539.83942108
39,1577664000,41570453.64757815
40,1577750400,41778474.810325526
41,1577836800,41083185.19094878
42,1577923200,41278022.173959784
43,1578009600,42581602.14223324
44,1578096000,41388590.59059867
45,1578182400,41935818.1392408
46,1578268800,44894739.590651274
47,1578355200,47168618.15644877
48,1578441600,46123776.55402997
49,1578528000,46010555.08001339
50,1578614400,83329194.30009556
51,1578700800,83101741.42074405
52,1578787200,84458742.08336683
53,1578873600,85495814.02138372
54,1578960000,87284468.50076805
55,1579046400,87663675.27361801
56,1579132800,89222338.63485347
57,1579219200,94452683.0623559
58,1579305600,95750977.341536
59,1579392000,96638682.17044407
60,1579478400,97204215.87515491
61,1579564800,98675239.9516217
62,1579651200,99973323.17849432
63,1579737600,100642563.13049892
64,1579824000,101217363.23020501
65,1579910400,101589117.75428417
66,1579996800,102572368.28320919
67,1580083200,103533895.38618834
68,1580169600,105889812.14565243
69,1580256000,105739484.00904961
70,1580342400,107294604.3455077
71,1580428800,107092084.61306506
72,1580515200,107414287.24037214
73,1580601600,106714941.97582336
74,1580688000,107667359.50352721
75,1580774400,110469099.30394429
76,1580860800,111404177.02940492
77,1580947200,112357810.36645739
78,1581033600,113742950.36056434
79,1581120000,113854708.2034847
80,1581206400,115593622.08550976
81,1581292800,115780845.51222603
82,1581379200,116713432.18182547
83,1581465600,118237904.59823069
84,1581552000,121852077.59133922
85,1581638400,123258195.23984866
86,1581724800,124365747.5669735
87,1581811200,126511838.39251125
88,1581897600,125802104.78200884
89,1581984000,121601576.73523311
90,1582070400,119343202.26409605
91,1582156800,119994841.40772739
92,1582243200,120669545.82334405
93,1582329600,119999879.67666121
94,1582416000,121265667.2423385
95,1582502400,122221847.68163554
96,1582588800,124333572.22642156
97,1582675200,122816784.24678782
98,1582761600,122762632.1099471
99,1582848000,120359117.12014687
100,1582934400,119609005.93040194
101,1583020800,118898199.0078139
102,1583107200,117598592.49232955
103,1583193600,118062741.86893427
104,1583280000,118091309.22448184
105,1583366400,117956144.91908818
106,1583452800,121583102.75306728
107,1583539200,122124689.81473872
108,1583625600,119868152.90353057
109,1583712000,120616081.0191986
110,1583798400,119504802.9923777
111,1583884800,120666966.26351641
112,1583971200,113644743.1967267
113,1584057600,99870494.32027704
114,1584144000,97374033.90008265
115,1584230400,99441931.96500085
116,1584316800,94982374.33248898
117,1584403200,92513457.80079806
118,1584489600,95234501.65493493
119,1584576000,82433487.93312806
120,1584662400,85363929.54314758
121,1584748800,84357671.64803812
122,1584835200,83248499.82178488
123,1584921600,83487153.15812723
124,1585008000,84073256.11515568
125,1585094400,83080450.09868547
126,1585180800,83803875.24578273
127,1585267200,82564357.44305213
128,1585353600,83783726.44999662
129,1585440000,83645143.84669583
130,1585526400,83014572.9706177
131,1585612800,84604916.28342433
132,1585699200,85377599.02522989
133,1585785600,87174649.33655205
134,1585872000,87736192.35390392
135,1585958400,87798252.04791698
136,1586044800,87512092.50721036
137,1586131200,87837561.8238634
138,1586217600,82750899.6185503
139,1586304000,81205780.97833264
140,1586390400,81806776.9747962
141,1586476800,81417142.97538565
142,1586563200,82301197.26202875
143,1586649600,81588951.96078049
144,1586736000,81930549.92481373
145,1586822400,81971474.7621311
146,1586908800,82443814.17918995
147,1586995200,83107753.70619087
148,1587081600,82938248.99037026
149,1587168000,85096331.35155188
150,1587254400,88395292.67896853
151,1587340800,89671208.62946357
152,1587427200,90443235.15227863
153,1587513600,91076089.11121702
154,1587600000,94361062.13486812
155,1587686400,96484374.24842685
156,1587772800,97159438.44319566
157,1587859200,97931890.0610497
158,1587945600,98193616.58432366
159,1588032000,98373949.97019994
160,1588118400,101018885.91953857
161,1588204800,101749293.0265788
162,1588291200,100358351.38636166
163,1588377600,108999255.71291386
164,1588464000,111837515.80950211
165,1588550400,111891118.40861142
166,1588636800,112363389.56415515
167,1588723200,112285016.21828322
168,1588809600,111873856.59437445
169,1588896000,111758621.32927436
170,1588982400,112704063.64743033
171,1589068800,110301832.60521017
172,1589155200,109685940.28924671
173,1589241600,109061153.63652559
174,1589328000,108482288.17422742
175,1589414400,109739787.66247982
176,1589500800,110287509.71683836
177,1589587200,110976490.4278753
178,1589673600,111791114.32282807
179,1589760000,114476289.63808881
180,1589846400,114782483.27563262
181,1589932800,120124927.45777301
182,1590019200,119229931.96290539
183,1590105600,124107292.46895872
184,1590192000,121333689.11516446
185,1590278400,121216901.15340765
186,1590364800,121256916.91697894
187,1590451200,120523010.95791055
188,1590537600,120650456.81529352
189,1590624000,120836438.53919819
190,1590710400,122347744.78277592
191,1590796800,126153595.59898758
192,1590883200,130156743.1883779
193,1590969600,126002370.30860972
194,1591056000,121833234.37153426
195,1591142400,132406317.19183417
196,1591228800,132259957.25114259
197,1591315200,132609399.83749643
198,1591401600,132450126.64716485
199,1591488000,135549642.15868178
200,1591574400,135364072.30838552
201,1591660800,121327219.76273414
202,1591747200,121599426.80026667
203,1591833600,125923811.3336495
204,1591920000,123952237.57413386
205,1592006400,123845060.05397852
206,1592092800,119829990.9818713
207,1592179200,116341349.50257051
208,1592265600,117505080.73788546
209,1592352000,119156353.55191788
210,1592438400,120463657.39265442
211,1592524800,125014843.22416101
212,1592611200,126475657.08322255
213,1592697600,125999317.69857492
214,1592784000,130842491.96865481
215,1592870400,128045258.96495633
216,1592956800,129833259.98245533
217,1593043200,128732634.87557055
218,1593129600,129428187.21117312
219,1593216000,130070969.03170389
220,1593302400,129354464.83594099
221,1593388800,129257127.90720613
222,1593475200,129588690.80676387
223,1593561600,148046336.0144475
224,1593648000,149186035.21665615
225,1593734400,164978171.92274067
226,1593820800,170877175.21063322
227,1593907200,176652872.08065277
228,1593993600,182138140.53510058
229,1594080000,186937930.3225952
230,1594166400,189122931.2277246
231,1594252800,189777883.17142147
232,1594339200,192464452.95129797
233,1594425600,201345310.0622044
234,1594512000,194491882.0326116
235,1594598400,198857973.3928572
236,1594684800,199399809.94038838
237,1594771200,200950738.51034832
238,1594857600,201961616.26915804
239,1594944000,210379200.86005774
240,1595030400,212167294.68489894
241,1595116800,221183785.58543697
242,1595203200,220578968.86041912
243,1595289600,222782669.18944073
244,1595376000,224399095.17973483
245,1595462400,260784026.33687532
246,1595548800,285136546.8119523
247,1595635200,254444724.58729285
248,1595721600,276975318.1032313
249,1595808000,287337611.2356174
250,1595894400,301443469.61440885
251,1595980800,330149282.99283665
252,1596067200,347418058.4233858
253,1596153600,370563791.73043424
254,1596240000,368973993.62775385
255,1596326400,369885939.6288296
256,1596412800,385394038.34755677
257,1596499200,386659620.0389415
258,1596585600,389543205.6139353
259,1596672000,380719415.7497119
260,1596758400,384611513.89705455
261,1596844800,383999249.12323195
262,1596931200,383463405.40891385
