unix,pax_mcap
1537920000,0.0
1538006400,0.0
1538092800,0.0
1538179200,0.0
1538265600,0.0
1538352000,0.0
1538438400,0.0
1538524800,0.0
1538611200,0.0
1538697600,0.0
1538784000,0.0
1538870400,0.0
1538956800,0.0
1539043200,13379193.573183019
1539129600,13362625.868737824
1539216000,13477195.38864104
1539302400,21445470.363371428
1539388800,24121602.175254565
1539475200,24367784.942250244
1539561600,37020940.14266434
1539648000,51726094.48517768
1539734400,65224761.82105744
1539820800,42371595.363687135
1539907200,42344575.70978219
1539993600,42282377.319939315
1540080000,42381278.41935526
1540166400,42279021.80693392
1540252800,79735712.06919102
1540339200,79492058.1986539
1540425600,97391773.13723251
1540512000,97403867.97263558
1540598400,96808054.13902809
1540684800,97069741.18658885
1540771200,107338194.95172796
1540857600,113074920.82639813
1540944000,110118006.5629834
1541030400,114665039.61449571
1541116800,134615043.207399
1541203200,136246299.2287752
1541289600,133118175.7948284
1541376000,137865825.26605052
1541462400,137670058.724766
1541548800,137572269.26806197
1541635200,138903238.66956174
1541721600,137729569.52620968
1541808000,137294702.528152
1541894400,136832075.06029856
1541980800,133911083.52004166
1542067200,135106656.77428865
1542153600,134201315.43632418
1542240000,133602806.08243856
1542326400,136301504.34847966
1542412800,137342794.4539131
1542499200,137268050.2372097
1542585600,139210107.53032157
1542672000,136371099.65809333
1542758400,138962593.58554754
1542844800,141135752.18198562
1542931200,143689689.48337176
1543017600,142360668.03195915
1543104000,143461035.36350045
1543190400,139755018.7961561
1543276800,138688906.72985366
1543363200,136018526.43323678
1543449600,144638636.8711204
1543536000,163334471.34531277
1543622400,168209439.8759106
1543708800,167996766.90518287
1543795200,186420361.7011702
1543881600,176343943.93814573
1543968000,163266424.7223597
1544054400,167152078.73849046
1544140800,171715854.66284397
1544227200,174186803.4274649
1544313600,174959373.31914335
1544400000,171274903.08835584
1544486400,165634322.6051883
1544572800,159284202.84073284
1544659200,156592106.49907324
1544745600,155517835.19285056
1544832000,155037027.7114703
1544918400,155131641.72728202
1545004800,151715189.28944874
1545091200,150268204.5457682
1545177600,148786639.39414912
1545264000,148404331.25454643
1545350400,155995053.56893456
1545436800,155135522.36597368
1545523200,155343297.71559528
1545609600,154856378.69641995
1545696000,154250330.06339318
1545782400,151841523.9920085
1545868800,149090846.47378963
1545955200,143858959.41315323
1546041600,143580955.1881522
1546128000,144275356.9598935
1546214400,141866219.85972783
1546300800,141435446.13352698
1546387200,130050157.41270901
1546473600,131421522.79588853
1546560000,130514431.85738018
1546646400,131552405.17292553
1546732800,130266686.36504512
1546819200,130203446.58717754
1546905600,131938259.83624509
1546992000,130921589.86287215
1547078400,130561459.9791047
1547164800,131707339.99027324
1547251200,131726405.99490514
1547337600,131927985.17815265
1547424000,136580662.40017262
1547510400,138254724.49976474
1547596800,132840745.10242994
1547683200,136271113.82638243
1547769600,135390920.972375
1547856000,139824898.86802682
1547942400,140307468.83777347
1548028800,138478085.17854658
1548115200,136790911.68913937
1548201600,134603920.61011782
1548288000,138453735.75846592
1548374400,135256352.62057588
1548460800,134654532.53344765
1548547200,134926892.26589164
1548633600,132570586.6990513
1548720000,130272585.7292326
1548806400,128866513.59688498
1548892800,127708254.55982223
1548979200,124519047.74536861
1549065600,122884037.60153389
1549152000,123135140.5914361
1549238400,122602341.41193858
1549324800,121980379.16776715
1549411200,121455099.4264439
1549497600,122291579.2120202
1549584000,122404435.69292441
1549670400,121157231.96152733
1549756800,120519149.00034243
1549843200,119145416.09757447
1549929600,118842861.67834146
1550016000,116950912.39543281
1550102400,116454061.48826805
1550188800,115124242.10402185
1550275200,115021692.258193
1550361600,115344786.5579112
1550448000,114776484.98214094
1550534400,114054953.03857717
1550620800,113608098.94845787
1550707200,113194659.15216877
1550793600,116676377.51044458
1550880000,116059243.6110056
1550966400,115832584.63562144
1551052800,113975664.1612954
1551139200,113998234.1926376
1551225600,113387926.40803015
1551312000,109976707.36474623
1551398400,111301328.14366253
1551484800,115677767.09639551
1551571200,115860272.64904015
