unix,tether_dominance
1427673600,100.0
1427760000,100.0
1427846400,100.0
1427932800,100.0
1428019200,100.0
1428105600,100.0
1428192000,100.0
1428278400,100.0
1428364800,100.0
1428451200,100.0
1428537600,100.0
1428624000,100.0
1428710400,100.0
1428796800,100.0
1428883200,100.0
1428969600,100.0
1429056000,100.0
1429142400,100.0
1429228800,100.0
1429315200,100.0
1429401600,100.0
1429488000,100.0
1429574400,100.0
1429660800,100.0
1429747200,100.0
1429833600,100.0
1429920000,100.0
1430006400,100.0
1430092800,100.0
1430179200,100.0
1430265600,100.0
1430352000,100.0
1430438400,100.0
1430524800,100.0
1430611200,100.0
1430697600,100.0
1430784000,100.0
1430870400,100.0
1430956800,100.0
1431043200,100.0
1431129600,100.0
1431216000,100.0
1431302400,100.0
1431388800,100.0
1431475200,100.0
1431561600,100.0
1431648000,100.0
1431734400,100.0
1431820800,100.0
1431907200,100.0
1431993600,100.0
1432080000,100.0
1432166400,100.0
1432252800,100.0
1432339200,100.0
1432425600,100.0
1432512000,100.0
1432598400,100.0
1432684800,100.0
1432771200,100.0
1432857600,100.0
1432944000,100.0
1433030400,100.0
1433116800,100.0
1433203200,100.0
1433289600,100.0
1433376000,100.0
1433462400,100.0
1433548800,100.0
1433635200,100.0
1433721600,100.0
1433808000,100.0
1433894400,100.0
1433980800,100.0
1434067200,100.0
1434153600,100.0
1434240000,100.0
1434326400,100.0
1434412800,100.0
1434499200,100.0
1434585600,100.0
1434672000,100.0
1434758400,100.0
1434844800,100.0
1434931200,100.0
1435017600,100.0
1435104000,100.0
1435190400,100.0
1435276800,100.0
1435363200,100.0
1435449600,100.0
1435536000,100.0
1435622400,100.0
1435708800,100.0
1435795200,100.0
1435881600,100.0
1435968000,100.0
1436054400,100.0
1436140800,100.0
1436227200,100.0
1436313600,100.0
1436400000,100.0
1436486400,100.0
1436572800,100.0
1436659200,100.0
1436745600,100.0
1436832000,100.0
1436918400,100.0
1437004800,100.0
1437091200,100.0
1437177600,100.0
1437264000,100.0
1437350400,100.0
1437436800,100.0
1437523200,100.0
1437609600,100.0
1437696000,100.0
1437782400,100.0
1437868800,100.0
1437955200,100.0
1438041600,100.0
1438128000,100.0
1438214400,100.0
1438300800,100.0
1438387200,100.0
1438473600,100.0
1438560000,100.0
1438646400,100.0
1438732800,100.0
1438819200,100.0
1438905600,100.0
1438992000,100.0
1439078400,100.0
1439164800,100.0
1439251200,100.0
1439337600,100.0
1439424000,100.0
1439510400,100.0
1439596800,100.0
