,unix,tusd_mcap
0,1521849600,7837876.293890257
1,1521936000,7897589.369341444
2,1522022400,7923872.658186445
3,1522108800,7936653.741192489
4,1522195200,7884224.171866433
5,1522281600,8019054.775154959
6,1522368000,9598552.672563093
7,1522454400,9549560.97523178
8,1522540800,9587266.913353529
9,1522627200,9514908.73509436
10,1522713600,9479839.170097442
11,1522800000,9711897.692319242
12,1522886400,9727758.683805864
13,1522972800,9688881.486823387
14,1523059200,9629199.482550971
15,1523145600,9625467.862249376
16,1523232000,9687421.866284736
17,1523318400,9586969.086592387
18,1523404800,9619509.929098418
19,1523491200,9516683.403687945
20,1523577600,9560106.16731173
21,1523664000,9550873.682645159
22,1523750400,9562480.23514064
23,1523836800,9754774.503954962
24,1523923200,9722220.893096251
25,1524009600,9752504.551637575
26,1524096000,9840806.591009198
27,1524182400,9757853.388364114
28,1524268800,9758166.47220491
29,1524355200,9732613.12193918
30,1524441600,9699036.723667156
31,1524528000,11914315.370905856
32,1524614400,12086272.844201734
33,1524700800,12013065.308038775
34,1524787200,11968153.254427653
35,1524873600,11930156.991193494
36,1524960000,11932391.362068422
37,1525046400,11947330.319565779
38,1525132800,11877982.62457726
39,1525219200,11852288.162833089
40,1525305600,11853092.025123889
41,1525392000,11867997.240855644
42,1525478400,11918900.181792753
43,1525564800,11947228.720512427
44,1525651200,11977178.637234561
45,1525737600,11848459.486767808
46,1525824000,11899900.357102739
47,1525910400,11877695.52898965
48,1525996800,13280784.302074185
49,1526083200,13360966.190604487
50,1526169600,13337268.646703064
51,1526256000,13473005.728928667
52,1526342400,13409941.052092435
53,1526428800,16373360.60984316
54,1526515200,16282242.224318368
55,1526601600,16671940.37264141
56,1526688000,16726165.054431507
57,1526774400,16682851.706619607
58,1526860800,19873291.971670665
59,1526947200,18592220.30382898
60,1527033600,33446357.213167813
61,1527120000,33329748.78002747
62,1527206400,33882072.2146919
63,1527292800,38866479.88558958
64,1527379200,39167204.35918191
65,1527465600,39410520.24487299
66,1527552000,38630197.95572901
67,1527638400,38563493.92012585
68,1527724800,41394834.27529333
69,1527811200,43346592.777153246
70,1527897600,43070362.34687332
71,1527984000,43129739.10807098
72,1528070400,43425532.387111366
73,1528156800,43391676.18888455
74,1528243200,43348065.97964968
75,1528329600,43700866.85526281
76,1528416000,43627199.04688648
77,1528502400,43287604.59170892
78,1528588800,44210876.62456983
79,1528675200,44116661.485878654
80,1528761600,45123331.13653082
81,1528848000,48596353.27650356
82,1528934400,48946091.53795415
83,1529020800,49644139.68271589
84,1529107200,49571000.38800382
85,1529193600,49512553.15805869
86,1529280000,62093650.528706126
87,1529366400,62012882.425298735
88,1529452800,62304832.48081527
89,1529539200,62428884.762891956
90,1529625600,67830804.81699093
91,1529712000,73198521.04388425
92,1529798400,73131293.36369427
93,1529884800,72801032.03050172
94,1529971200,80082956.28719413
95,1530057600,79790789.31693093
96,1530144000,80795387.69344915
97,1530230400,83187387.59017281
98,1530316800,83328128.20212747
