unix,usdc_mcap
1539043200,0.0
1539129600,0.0
1539216000,0.0
1539302400,0.0
1539388800,0.0
1539475200,0.0
1539561600,0.0
1539648000,24736312.470275804
1539734400,24590235.09243715
1539820800,0.0
1539907200,0.0
1539993600,0.0
1540080000,0.0
1540166400,0.0
1540252800,0.0
1540339200,129207942.55093452
1540425600,128775493.59195422
1540512000,129502938.57304983
1540598400,128177230.83110094
1540684800,129589926.82555479
1540771200,128032732.9641366
1540857600,127904252.15148543
1540944000,127652782.4548048
1541030400,128091487.97650129
1541116800,133609203.34167849
1541203200,133279984.89563128
1541289600,131039278.35077067
1541376000,134613399.2820283
1541462400,134834229.73327753
1541548800,135701197.28911525
1541635200,135158925.1922598
1541721600,136052182.85713974
1541808000,135335501.5123472
1541894400,136458935.59849563
1541980800,136284804.8815593
1542067200,141683057.71215698
1542153600,148577982.7291999
1542240000,146981646.37469363
1542326400,145736699.8505958
1542412800,146146329.3057387
1542499200,145255943.1814611
1542585600,146842391.15358862
1542672000,161782019.63132745
1542758400,166203162.36999398
1542844800,169951951.4498348
1542931200,169591534.98133108
1543017600,170718063.19309643
1543104000,170695963.22602105
1543190400,171920667.15118015
1543276800,175112664.8668014
1543363200,178905400.63030013
1543449600,179073854.49766392
1543536000,179488336.81746954
1543622400,179742796.33896968
1543708800,179261826.46996272
1543795200,180216664.34781665
1543881600,179191321.06638327
1543968000,179672596.28813562
1544054400,182203423.4081703
1544140800,185925217.40677598
1544227200,186362017.80599478
1544313600,186009059.83972755
1544400000,191717217.41606736
1544486400,191980058.29880187
1544572800,202349331.8434995
1544659200,201945777.79337656
1544745600,204783087.58775824
1544832000,204422469.51165003
1544918400,204836482.42277378
1545004800,215286064.69181547
1545091200,214184707.21616104
1545177600,224129739.04976174
1545264000,225824770.78037697
1545350400,228925653.87133193
1545436800,229078540.8610935
1545523200,227697886.948026
1545609600,228237620.82763207
1545696000,227184143.9596543
1545782400,229152576.3838915
1545868800,238408338.7542025
1545955200,240471674.13646314
1546041600,241385119.72833592
1546128000,248534076.42591536
1546214400,250584341.0073861
1546300800,261532670.09386462
1546387200,285618972.3460397
1546473600,286516389.75418437
1546560000,294504722.8054924
1546646400,290681640.72352326
1546732800,300214373.7775302
1546819200,313435514.83151346
1546905600,323217620.0451136
1546992000,341081572.2983093
1547078400,355008147.74035543
1547164800,358076244.6727932
1547251200,359427064.9725381
1547337600,367194732.72805107
1547424000,370764588.93518317
1547510400,355451747.0127863
1547596800,352698266.1818199
1547683200,362187289.44090235
1547769600,358872737.94809395
1547856000,346848080.21784866
1547942400,348206766.67652196
1548028800,347851811.3909167
1548115200,345392588.83865464
1548201600,349789723.50333637
1548288000,340507232.9017234
1548374400,343078507.6538535
1548460800,336667629.9614812
1548547200,343068666.37400395
1548633600,334945905.506282
1548720000,324943663.7423936
1548806400,325851698.69831055
1548892800,310132134.0900024
1548979200,310423136.1364255
1549065600,310303376.089002
1549152000,312165433.31089014
1549238400,306481186.69057465
1549324800,299065780.4151915
1549411200,295888927.0652013
1549497600,290364759.6785448
1549584000,291521669.34453017
1549670400,291484154.48727477
1549756800,290113095.3028002
1549843200,261608191.55017823
1549929600,261483988.21334296
1550016000,260029238.5503879
1550102400,249853199.1636322
1550188800,250473888.14147717
1550275200,247236104.8722431
1550361600,247579528.4573505
1550448000,246523132.91656446
1550534400,246301948.5528867
1550620800,248070070.1675536
1550707200,247896923.8659708
1550793600,235024371.31355497
1550880000,234341044.00029305
1550966400,234269734.71713567
1551052800,232109898.21978775
1551139200,234673211.4887177
1551225600,237793919.63843486
1551312000,238178935.12235603
1551398400,239542561.00554058
1551484800,240470524.84115297
1551571200,241162085.02693558
1551657600,242340814.60262328
1551744000,242572691.55450007
1551830400,243483370.1057611
1551916800,239418664.19886652
1552003200,245564367.75551233
1552089600,241892941.40586928
1552176000,241929214.78306565
1552262400,242026375.99976918
1552348800,242080857.55965862
1552435200,241632550.4518786
1552521600,242540797.96643236
1552608000,241674979.03438798
1552694400,241051503.26795745
1552780800,240876597.57703227
1552867200,241580915.77341124
1552953600,241425298.22027016
1553040000,241625515.9763423
1553126400,244350752.27329713
1553212800,245713094.14989075
1553299200,246735068.6786861
1553385600,246870374.9386029
1553472000,247798566.1472715
1553558400,247042348.46007168
1553644800,246498530.75745434
1553731200,247456742.5357804
1553817600,247553005.9963986
1553904000,247482835.8031753
1553990400,247215043.7902301
1554076800,253582676.0763051
1554163200,255615162.07794264
1554249600,256415595.07538086
1554336000,256962608.68030515
1554422400,260342115.19357207
1554508800,259983480.49936768
1554595200,260709199.69050857
1554681600,260350307.71844786
1554768000,265216255.84825134
1554854400,262609710.37693667
1554940800,258528238.8929959
1555027200,259272804.87255406
1555113600,259546042.8879434
1555200000,259764025.95216602
1555286400,260475212.42163062
1555372800,259230717.63328668
1555459200,256300117.07753447
1555545600,252667522.76487622
1555632000,252670152.89540425
1555718400,252978811.3496745
1555804800,252669776.10662836
1555891200,251326924.13001552
1555977600,253170141.39872268
1556064000,252588396.363209
1556150400,259219532.87732676
1556236800,268611419.3986556
1556323200,297244675.2185532
1556409600,298089016.0953815
1556496000,295234804.06971014
1556582400,294502573.6298207
1556668800,297466210.7570403
1556755200,296634359.7789828
1556841600,300022402.1068642
1556928000,301467386.7309446
1557014400,302125188.0677663
1557100800,307719304.5896103
1557187200,311013611.0893624
1557273600,316455095.76441884
1557360000,327655413.01918083
1557446400,330250263.7070247
1557532800,328135288.67936736
1557619200,327956580.31626
1557705600,336959654.7746712
1557792000,345778033.6101818
1557878400,350286855.8666861
1557964800,357037909.66133326
1558051200,361720383.3809068
1558137600,359777959.6395345
1558224000,358756401.34387463
1558310400,358555344.6167097
1558396800,358200084.64821076
1558483200,360266085.5269885
1558569600,361312034.41507894
1558656000,360687372.60481495
1558742400,363359359.00397295
1558828800,362378697.0302579
1558915200,363429621.3273262
1559001600,363932724.6112282
1559088000,359590381.97341305
1559174400,340665537.7011793
1559260800,337018772.07868254
1559347200,336543468.4836384
1559433600,334451437.1797635
1559520000,335910975.7644561
1559606400,336589575.4430001
