,unix,tether_dominance
0,1427673600,100.0
1,1427760000,100.0
2,1427846400,100.0
3,1427932800,100.0
4,1428019200,100.0
5,1428105600,100.0
6,1428192000,100.0
7,1428278400,100.0
8,1428364800,100.0
9,1428451200,100.0
10,1428537600,100.0
11,1428624000,100.0
12,1428710400,100.0
13,1428796800,100.0
14,1428883200,100.0
15,1428969600,100.0
16,1429056000,100.0
17,1429142400,100.0
18,1429228800,100.0
19,1429315200,100.0
20,1429401600,100.0
21,1429488000,100.0
22,1429574400,100.0
23,1429660800,100.0
24,1429747200,100.0
25,1429833600,100.0
26,1429920000,100.0
27,1430006400,100.0
28,1430092800,100.0
29,1430179200,100.0
30,1430265600,100.0
31,1430352000,100.0
32,1430438400,100.0
33,1430524800,100.0
34,1430611200,100.0
35,1430697600,100.0
36,1430784000,100.0
37,1430870400,100.0
38,1430956800,100.0
39,1431043200,100.0
40,1431129600,100.0
41,1431216000,100.0
42,1431302400,100.0
43,1431388800,100.0
44,1431475200,100.0
45,1431561600,100.0
46,1431648000,100.0
47,1431734400,100.0
48,1431820800,100.0
49,1431907200,100.0
50,1431993600,100.0
51,1432080000,100.0
52,1432166400,100.0
53,1432252800,100.0
54,1432339200,100.0
55,1432425600,100.0
56,1432512000,100.0
57,1432598400,100.0
58,1432684800,100.0
59,1432771200,100.0
60,1432857600,100.0
61,1432944000,100.0
62,1433030400,100.0
63,1433116800,100.0
64,1433203200,100.0
65,1433289600,100.0
66,1433376000,100.0
67,1433462400,100.0
68,1433548800,100.0
69,1433635200,100.0
70,1433721600,100.0
71,1433808000,100.0
72,1433894400,100.0
73,1433980800,100.0
74,1434067200,100.0
75,1434153600,100.0
76,1434240000,100.0
77,1434326400,100.0
78,1434412800,100.0
79,1434499200,100.0
80,1434585600,100.0
81,1434672000,100.0
82,1434758400,100.0
83,1434844800,100.0
84,1434931200,100.0
85,1435017600,100.0
86,1435104000,100.0
87,1435190400,100.0
88,1435276800,100.0
89,1435363200,100.0
